card_ID,groupName,tradHanzi,simpleHanzi,pinyin,english
138,HSK Level 1,這,这,zhè ,"this/these/(commonly pr. zhei4 before a classifier, esp. in Beijing)"
139,HSK Level 1,這兒,这儿,zhè r ,here
140,HSK Level 1,中國,中国,Zhōng guó ,China/Middle Kingdom
141,HSK Level 1,中午,中午,zhōng wǔ ,noon/midday/CL:個|个[ge4]
142,HSK Level 1,住,住,zhù ,to live/to dwell/to stay/to reside/to stop
143,HSK Level 1,桌子,桌子,zhuō zi ,"table/desk/CL:張|张[zhang1],套[tao4]"
144,HSK Level 1,字,字,zì ,letter/symbol/character/word/CL:個|个[ge4]/courtesy or style name traditionally given to males aged 20 in dynastic China
145,HSK Level 1,昨天,昨天,zuó tiān ,yesterday
146,HSK Level 1,做,做,zuò ,to do/to make/to produce/to write/to compose/to act as/to engage in/to hold (a party)/to be/to become/to function (in some capacity)/to serve as/to be used for/to form (a bond or relationship)/to pretend/to feign/to act a part/to put on appearance
147,HSK Level 1,坐,坐,zuò ,"to sit/to take a seat/to take (a bus, airplane etc)/to bear fruit/surname Zuo"
